"userPlantName"
"Used to be n/a, did not check location change box"
"Used to be white fir did not check location change box"
"Balsam fir"
"Minniebush"
"Malus spp. (northern spy)"
"Prunus spp. (mount royal plum)"
"Cornus racemosa"
"Coastal plain willow"
"Aesculus carnea (x hippocastanum & pavia)"
"Viburnum opulus"
"Used to be oak spp and checked location change box"
"Japanes tree lilac"
"Burningbush"
"Northern bayberry"
"Swamp red oak"
"Coastal sweetpepperbush"
"Crab apple spp"
"Desert olive"
"Crab apple"
"Canada plum"
"Nanking cherry"
"Allegheny blackberry"
"Asian pear"
"Japanese yew"
"Star magnolia"
"Scarlet hawthorn"
"Oriental arborvitae"
"Burning bush"
"Dove tree"
"Rosa nutkana"
"Sambucus pubens"
"Western serviceberry"
"Western redcedar"
"Rubus spectabilis"
"Oemleria cerasiformis"
"Western hemlock"
"Vaccinium parvifolium"
"Rhododendron groenlandicum"
"Douglas-fir"
"Populus trichocarpa"
"Spiraea douglasii"
"Western white pine"
"Currant spp."
"Grand fir"
"Acer circinatum"
"Red alder"
"Common hibiscus"
"Sweetleaf"
"Eastern white cedar"
"Allegheny serviceberry"
"Fir spp."
"Spruce spp."
"Eugenia foetida - spanish stopper"
"Coccoloba diversifolia - pigeon plum"
"Capparis cynophallophora - jamaican caper"
"Krugiodendron ferreum - ironwood"
"Ardisia escallonioides - marlberry"
"Psychotria tenuifolia - wild coffee"
"Eugenia axillaris - white stopper"
"Gymnanthes lucida - crabwood"
"Guapira discolor - blolly"
"Spondias purpurea - jocote"
"Randia aculeata - white indigoberry"
"Common pinyon"
"Peachleaf willow"
"Wayfaring tree"
