ID,UserFK,Score,PercentFound,IdentificationAccuracy,LengthAccuracy,Timestamp,DateTime
87,26,1607,-1,-1,-1,"2020-02-27 18:10:46","2020-02-27 18:10:46"
88,25,0,-1,-1,-1,"2020-03-08 16:43:06","2020-03-08 16:43:06"
89,26,1745,-1,-1,-1,"2020-03-09 12:49:31","2020-03-09 12:49:31"
90,2605,1439,-1,-1,-1,"2020-04-01 20:16:31","2020-04-01 20:16:31"
91,2596,1577,-1,-1,-1,"2020-04-07 15:02:47","2020-04-07 15:02:47"
92,2620,863,-1,-1,-1,"2020-04-15 20:54:26","2020-04-15 20:54:26"
93,2620,1332,-1,-1,-1,"2020-04-15 21:06:28","2020-04-15 21:06:28"
94,26,243,-1,-1,-1,"2020-04-29 17:18:30","2020-04-29 17:18:30"
95,2640,1413,-1,-1,-1,"2020-05-09 15:46:08","2020-05-09 15:46:08"
96,2640,1149,-1,-1,-1,"2020-05-09 15:51:23","2020-05-09 15:51:23"
97,2640,1224,-1,-1,-1,"2020-05-09 15:56:09","2020-05-09 15:56:09"
98,2633,248,-1,-1,-1,"2020-05-14 02:26:40","2020-05-14 02:26:40"
99,2633,346,-1,-1,-1,"2020-05-14 02:29:16","2020-05-14 02:29:16"
100,2250,877,-1,-1,-1,"2020-06-02 19:32:28","2020-06-02 19:32:28"
101,2653,672,-1,-1,-1,"2020-06-02 19:36:35","2020-06-02 19:36:35"
102,2250,1018,-1,-1,-1,"2020-06-02 19:37:07","2020-06-02 19:37:07"
103,2654,788,-1,-1,-1,"2020-06-04 02:15:27","2020-06-04 02:15:27"
104,2653,1244,-1,-1,-1,"2020-06-08 16:12:55","2020-06-08 16:12:55"
105,2250,1345,-1,-1,-1,"2020-06-29 18:02:03","2020-06-29 18:02:03"
106,2250,1103,-1,-1,-1,"2020-06-29 18:07:19","2020-06-29 18:07:19"
107,26,1389,-1,-1,-1,"2020-06-29 19:06:45","2020-06-29 19:06:45"
108,2706,771,-1,-1,-1,"2020-07-24 23:41:46","2020-07-24 23:41:46"
109,2706,441,-1,-1,-1,"2020-07-28 22:42:06","2020-07-28 22:42:06"
110,26,1491,-1,-1,-1,"2021-01-15 18:03:04","2021-01-15 18:03:04"
111,25,1350,-1,-1,-1,"2021-01-21 18:51:25","2021-01-21 18:51:25"
112,2746,849,-1,-1,-1,"2021-02-08 03:53:14","2021-02-08 03:53:14"
113,2730,503,-1,-1,-1,"2021-02-15 16:14:45","2021-02-15 16:14:45"
114,2730,808,-1,-1,-1,"2021-02-15 16:22:11","2021-02-15 16:22:11"
115,26,1260,-1,-1,-1,"2021-02-23 14:22:36","2021-02-23 14:22:36"
116,26,1093,-1,-1,-1,"2021-03-09 21:08:16","2021-03-09 21:08:16"
117,2768,493,-1,-1,-1,"2021-03-15 16:37:09","2021-03-15 16:37:09"
118,26,264,-1,-1,-1,"2021-03-23 00:35:28","2021-03-23 00:35:28"
119,26,1134,-1,-1,-1,"2021-04-06 19:55:59","2021-04-06 19:55:59"
120,26,1619,-1,-1,-1,"2021-04-06 19:59:54","2021-04-06 19:59:54"
121,26,206,-1,-1,-1,"2021-04-13 19:56:47","2021-04-13 19:56:47"
122,2770,740,-1,-1,-1,"2021-04-29 19:24:23","2021-04-29 19:24:23"
123,2770,791,-1,-1,-1,"2021-04-29 19:28:22","2021-04-29 19:28:22"
124,2770,1033,-1,-1,-1,"2021-04-29 20:42:15","2021-04-29 20:42:15"
125,2813,844,-1,-1,-1,"2021-05-03 13:48:00","2021-05-03 13:48:00"
126,2813,818,-1,-1,-1,"2021-05-03 19:26:51","2021-05-03 19:26:51"
127,2812,1165,-1,-1,-1,"2021-05-09 13:40:19","2021-05-09 13:40:19"
128,2812,1207,-1,-1,-1,"2021-05-09 13:45:05","2021-05-09 13:45:05"
129,2812,1505,-1,-1,-1,"2021-05-09 13:50:08","2021-05-09 13:50:08"
130,2809,955,-1,-1,-1,"2021-05-11 22:05:34","2021-05-11 22:05:34"
131,2809,1413,-1,-1,-1,"2021-05-11 22:11:51","2021-05-11 22:11:51"
132,2809,825,-1,-1,-1,"2021-05-13 00:47:29","2021-05-13 00:47:29"
133,2831,120,-1,-1,-1,"2021-05-18 12:28:25","2021-05-18 12:28:25"
134,2853,868,-1,-1,-1,"2021-05-19 14:28:46","2021-05-19 14:28:46"
135,2853,1314,-1,-1,-1,"2021-05-19 14:34:10","2021-05-19 14:34:10"
136,2853,1053,-1,-1,-1,"2021-05-19 14:38:59","2021-05-19 14:38:59"
137,1299,1178,-1,-1,-1,"2021-05-20 22:14:06","2021-05-20 22:14:06"
138,1299,719,-1,-1,-1,"2021-05-20 22:20:15","2021-05-20 22:20:15"
139,1299,985,-1,-1,-1,"2021-05-20 22:27:44","2021-05-20 22:27:44"
140,2853,859,-1,-1,-1,"2021-05-21 11:46:37","2021-05-21 11:46:37"
141,2853,1226,-1,-1,-1,"2021-05-21 11:51:58","2021-05-21 11:51:58"
142,2853,1289,-1,-1,-1,"2021-05-21 12:02:09","2021-05-21 12:02:09"
143,2853,1491,-1,-1,-1,"2021-05-21 13:22:54","2021-05-21 13:22:54"
144,2839,571,-1,-1,-1,"2021-05-25 20:51:37","2021-05-25 20:51:37"
145,2763,1234,-1,-1,-1,"2021-05-27 21:43:01","2021-05-27 21:43:01"
146,2763,1388,-1,-1,-1,"2021-05-27 21:49:01","2021-05-27 21:49:01"
147,2763,1622,-1,-1,-1,"2021-05-27 21:56:05","2021-05-27 21:56:05"
148,2763,1456,-1,-1,-1,"2021-05-27 22:05:00","2021-05-27 22:05:00"
149,2763,1643,-1,-1,-1,"2021-05-27 22:12:12","2021-05-27 22:12:12"
150,2853,792,-1,-1,-1,"2021-06-09 22:22:23","2021-06-09 22:22:23"
151,2853,767,-1,-1,-1,"2021-06-09 22:25:52","2021-06-09 22:25:52"
152,2853,1232,-1,-1,-1,"2021-06-09 22:28:56","2021-06-09 22:28:56"
153,2853,901,-1,-1,-1,"2021-06-09 22:33:01","2021-06-09 22:33:01"
154,2853,794,-1,-1,-1,"2021-06-09 22:36:13","2021-06-09 22:36:13"
155,2853,1114,-1,-1,-1,"2021-06-11 19:46:04","2021-06-11 19:46:04"
156,2853,1070,-1,-1,-1,"2021-06-11 19:50:24","2021-06-11 19:50:24"
157,2853,1091,-1,-1,-1,"2021-06-11 19:54:45","2021-06-11 19:54:45"
158,2853,1266,-1,-1,-1,"2021-06-11 19:58:58","2021-06-11 19:58:58"
159,2853,646,-1,-1,-1,"2021-06-11 20:02:10","2021-06-11 20:02:10"
160,2763,1296,-1,-1,-1,"2021-06-13 04:54:34","2021-06-13 04:54:34"
161,2763,1556,-1,-1,-1,"2021-06-13 05:08:13","2021-06-13 05:08:13"
162,2763,1520,-1,-1,-1,"2021-06-13 05:19:40","2021-06-13 05:19:40"
163,2763,1555,-1,-1,-1,"2021-06-13 10:11:58","2021-06-13 10:11:58"
164,2891,954,-1,-1,-1,"2021-06-13 16:44:26","2021-06-13 16:44:26"
165,2893,1002,-1,-1,-1,"2021-06-14 03:10:14","2021-06-14 03:10:14"
166,2893,768,-1,-1,-1,"2021-06-14 03:14:50","2021-06-14 03:14:50"
167,2864,482,-1,-1,-1,"2021-06-15 01:21:15","2021-06-15 01:21:15"
168,2864,1091,-1,-1,-1,"2021-06-15 01:28:37","2021-06-15 01:28:37"
169,2864,1071,-1,-1,-1,"2021-06-15 01:34:22","2021-06-15 01:34:22"
170,2864,934,-1,-1,-1,"2021-06-15 01:41:12","2021-06-15 01:41:12"
171,2864,1349,-1,-1,-1,"2021-06-15 01:47:17","2021-06-15 01:47:17"
172,2622,743,-1,-1,-1,"2021-06-17 15:01:25","2021-06-17 15:01:25"
173,2895,582,-1,-1,-1,"2021-07-02 21:02:44","2021-07-02 21:02:44"
174,2895,1289,-1,-1,-1,"2021-07-02 21:33:05","2021-07-02 21:33:05"
175,2763,1469,-1,-1,-1,"2021-07-05 14:07:14","2021-07-05 14:07:14"
176,2763,1636,-1,-1,-1,"2021-07-05 14:25:47","2021-07-05 14:25:47"
177,25,723,-1,-1,-1,"2021-08-17 04:01:16","2021-08-17 04:01:16"
178,2983,727,-1,-1,-1,"2021-08-31 19:14:10","2021-08-31 19:14:10"
179,2987,665,-1,-1,-1,"2021-08-31 19:15:13","2021-08-31 19:15:13"
180,2982,1150,-1,-1,-1,"2021-08-31 19:17:56","2021-08-31 19:17:56"
181,2983,1122,-1,-1,-1,"2021-08-31 19:20:41","2021-08-31 19:20:41"
182,2987,995,-1,-1,-1,"2021-08-31 19:21:16","2021-08-31 19:21:16"
183,26,801,-1,-1,-1,"2021-09-09 20:05:57","2021-09-09 20:05:57"
184,2166,987,-1,-1,-1,"2022-01-12 20:38:44","2022-01-12 20:38:44"
185,2166,470,-1,-1,-1,"2022-01-14 19:26:46","2022-01-14 19:26:46"
186,2940,476,-1,-1,-1,"2022-01-18 00:15:01","2022-01-18 00:15:01"
187,3114,844,-1,-1,-1,"2022-01-19 16:12:32","2022-01-19 16:12:32"
188,3115,245,-1,-1,-1,"2022-01-19 18:15:15","2022-01-19 18:15:15"
189,3116,465,-1,-1,-1,"2022-01-20 15:14:09","2022-01-20 15:14:09"
190,3116,0,-1,-1,-1,"2022-01-20 15:31:25","2022-01-20 15:31:25"
191,3117,1223,-1,-1,-1,"2022-01-23 20:13:47","2022-01-23 20:13:47"
192,25,14,-1,-1,-1,"2022-01-30 16:59:13","2022-01-30 16:59:13"
193,25,0,-1,-1,-1,"2022-01-30 17:23:47","2022-01-30 17:23:47"
194,25,0,-1,-1,-1,"2022-01-30 17:31:55","2022-01-30 17:31:55"
195,25,172,11,100,96,"2022-01-30 18:42:34","2022-01-30 18:42:34"
196,25,184,23.08,33.33,60.56,"2022-01-30 23:06:13","2022-01-30 23:06:13"
197,25,200,16.67,50,100,"2022-01-30 23:07:48","2022-01-30 23:07:48"
198,25,0,0,0,0,"2022-01-30 23:08:33","2022-01-30 23:08:33"
199,3128,1080,70.59,91.67,81,"2022-03-21 16:43:51","2022-03-21 16:43:51"
200,3128,1428,76.92,100,91.19,"2022-03-21 16:49:34","2022-03-21 16:49:34"
201,3128,1406,92.31,91.67,80.77,"2022-03-21 16:54:39","2022-03-21 16:54:39"
202,2815,910,57.14,100,62.14,"2022-03-27 13:44:44","2022-03-27 13:44:44"
203,3157,707,56.25,88.89,88.82,"2022-04-08 03:08:48","2022-04-08 03:08:48"
204,2791,947,62.5,90,85.73,"2022-04-18 18:23:40","2022-04-18 18:23:40"
205,3165,932,57.14,87.5,98.7,"2022-04-27 18:04:14","2022-04-27 18:04:14"
206,26,75,7.14,100,100,"2022-04-28 17:09:30","2022-04-28 17:09:30"
207,3153,1028,73.33,81.82,74.41,"2022-05-09 18:48:54","2022-05-09 18:48:54"
208,3153,1487,84.62,100,86.54,"2022-05-09 18:52:32","2022-05-09 18:52:32"
209,3231,796,68.75,90.91,44.5,"2022-05-18 18:49:05","2022-05-18 18:49:05"
210,3255,1246,80,91.67,79.26,"2022-05-25 20:03:33","2022-05-25 20:03:33"
211,3247,827,56.25,77.78,78.94,"2022-06-02 13:17:34","2022-06-02 13:17:34"
212,3247,1453,94.12,81.25,88.21,"2022-06-02 13:23:35","2022-06-02 13:23:35"
213,3247,1258,86.67,84.62,82,"2022-06-02 13:28:34","2022-06-02 13:28:34"
214,3247,1276,86.67,92.31,77.99,"2022-06-02 13:32:46","2022-06-02 13:32:46"
