Rank,TaxonName,Order,Family
family,Tipulidae,Diptera,Tipulidae
family,Formicidae,Hymenoptera,Formicidae
genus,Formica,Hymenoptera,Formicidae
species,Harmonia axyridis,Coleoptera,Coccinellidae
genus,Acanthocephala,Hemiptera,Coreidae
species,Ellychnia corrusca,Coleoptera,Lampyridae
family,Chrysopidae,Neuroptera,Chrysopidae
species,Nadata gibbosa,Lepidoptera,Notodontidae
species,Camponotus pennsylvanicus,Hymenoptera,Formicidae
species,Halysidota tessellaris,Lepidoptera,Erebidae
species,Lyssomanes viridis,Araneae,Salticidae
genus,Hemaris,Lepidoptera,Sphingidae
species,Phyllopalpus pulchellus,Orthoptera,Trigonidiidae
species,Hyphantria cunea,Lepidoptera,Erebidae
family,Limacodidae,Lepidoptera,Limacodidae
family,Anyphaenidae,Araneae,Anyphaenidae
genus,Heterocampa,Lepidoptera,Notodontidae
family,Coccinellidae,Coleoptera,Coccinellidae
species,Orgyia definita,Lepidoptera,Erebidae
species,Parrhasius m-album,Lepidoptera,Lycaenidae
family,Lycaenidae,Lepidoptera,Lycaenidae
family,Salticidae,Araneae,Salticidae
family,Elateridae,Coleoptera,Elateridae
species,Oedancala dorsalis,Hemiptera,Pachygronthidae
genus,Eris,Araneae,Salticidae
family,Thomisidae,Araneae,Thomisidae
genus,Colonus,Araneae,Salticidae
family,Gelechiidae,Lepidoptera,Gelechiidae
species,Phoebis sennae,Lepidoptera,Pieridae
species,Acanthocephala declivis,Hemiptera,Coreidae
family,Vespidae,Hymenoptera,Vespidae
species,Leptysma marginicollis,Orthoptera,Acrididae
family,Berytidae,Hemiptera,Berytidae
subspecies,Terrapene carolina carolina,Testudines,Emydidae
species,Coleomegilla maculata,Coleoptera,Coccinellidae
genus,Cheiracanthium,Araneae,Miturgidae
family,Dictynidae,Araneae,Dictynidae
genus,Camponotus,Hymenoptera,Formicidae
family,Chironomidae,Diptera,Chironomidae
genus,Triaenodes,Trichoptera,Leptoceridae
family,Lampyridae,Coleoptera,Lampyridae
family,Pentatomidae,Hemiptera,Pentatomidae
family,Reduviidae,Hemiptera,Reduviidae
species,Pelegrina proterva,Araneae,Salticidae
family,Aphididae,Hemiptera,Aphididae
genus,Chinavia,Hemiptera,Pentatomidae
species,Zelus luridus,Hemiptera,Reduviidae
genus,Crematogaster,Hymenoptera,Formicidae
species,Leucauge venusta,Araneae,Tetragnathidae
genus,Tetragnatha,Araneae,Tetragnathidae
species,Automeris io,Lepidoptera,Saturniidae
family,Geometridae,Lepidoptera,Geometridae
genus,Pelegrina,Araneae,Salticidae
species,Halyomorpha halys,Hemiptera,Pentatomidae
species,Popillia japonica,Coleoptera,Scarabaeidae
family,Flatidae,Hemiptera,Flatidae
species,Chrysops vittatus,Diptera,Tabanidae
genus,Hentzia,Araneae,Salticidae
species,Oecanthus niveus,Orthoptera,Oecanthidae
family,Araneidae,Araneae,Araneidae
species,Misogada unicolor,Lepidoptera,Notodontidae
genus,Oecanthus,Orthoptera,Oecanthidae
species,Condylostylus patibulatus,Diptera,Dolichopodidae
species,Acronicta americana,Lepidoptera,Noctuidae
family,Bucculatricidae,Lepidoptera,Bucculatricidae
genus,Zale,Lepidoptera,Erebidae
species,Oligocentria lignicolor,Lepidoptera,Notodontidae
genus,Sarcophaga,Diptera,Sarcophagidae
species,Acronicta retardata,Lepidoptera,Noctuidae
genus,Paectes,Lepidoptera,Euteliidae
genus,Acronicta,Lepidoptera,Noctuidae
species,Augochlora pura,Hymenoptera,Halictidae
genus,Peridea,Lepidoptera,Notodontidae
subfamily,Erebinae,Lepidoptera,Erebidae
genus,Misumena,Araneae,Thomisidae
genus,Micrathena,Araneae,Araneidae
species,Meconema thalassinum,Orthoptera,Tettigoniidae
family,Theridiidae,Araneae,Theridiidae
genus,Porcellio,Isopoda,Porcellionidae
species,Hypsoropha hormos,Lepidoptera,Erebidae
genus,Pselliopus,Hemiptera,Reduviidae
species,Brochymena quadripustulata,Hemiptera,Pentatomidae
species,Euclea delphinii,Lepidoptera,Limacodidae
